cleaned_text,sentiment_scores,sentiment_labels
upset update facebook texting might cry result school today,0.7991025,negative
dived many time managed save rest go bound,0.7144377,neutral
whole body feel itchy like fire,0.56912506,negative
behaving see,0.7537806,neutral
whole crew,0.7274179,neutral
need hug,0.6575835,neutral
hey long time rain bit bit lol fine thanks,0.7924401,positive
nope,0.49582356,neutral
que muera,0.5990212,neutral
spring break plain snowing,0.8015565,neutral
ear,0.51866126,neutral
bear watch thought ua loss embarrassing,0.90433687,negative
idk never talk anymore,0.7180752,negative
really zac,0.77588063,neutral
wish got watch miss,0.75304073,neutral
death scene hurt severely watch film wry director cut,0.93220866,negative
file tax,0.65372515,neutral
ahh ive always wanted see rent love,0.6469458,positive
oh drinking forgotten table,0.5658873,neutral
day get much done,0.63006383,neutral
